heuristic,agents,profit,time,distance
one,3,295,14370.33,1142361.17
one,4,5,814.29,60971.98
one,4,10,624.18,60971.98
one,4,15,531.87,61069.89
one,4,20,713.19,61631.66
one,4,25,547.25,65447.58
one,4,30,848.35,86586.50
one,4,35,660.44,87594.89
one,4,40,901.10,88555.18
one,4,45,1096.70,132341.30
one,4,50,1440.66,165094.70
one,4,55,2406.59,169130.77
one,4,60,1117.58,171253.11
one,4,65,1286.81,171253.11
one,4,70,1873.63,175799.11
one,4,75,1270.33,196038.63
one,4,80,2183.52,196038.63
one,4,85,2332.97,218772.69
one,4,90,2100.00,223035.12
one,4,95,1852.75,226277.51
one,4,100,1269.23,246605.60
one,4,105,1246.15,246985.11
one,4,110,1415.38,246994.60
one,4,115,1891.21,271711.94
one,4,120,1052.75,303984.70
one,4,125,1060.44,315852.99
one,4,130,1171.43,342654.45
one,4,135,1162.64,373003.64
one,4,140,1904.40,373868.49
one,4,145,1573.63,373914.36
one,4,150,1384.62,374016.80
one,4,155,1807.69,383702.97
one,4,160,1771.43,416284.87
one,4,165,2285.71,427615.64
one,4,170,2152.75,438010.92
one,4,175,2645.05,441044.34
one,4,180,2810.99,461960.16
one,4,185,3021.98,487340.04
one,4,190,4520.88,497535.92
one,4,195,5341.76,542324.97
one,4,200,5016.48,673361.82
one,4,205,5300.00,713420.26
one,4,210,4904.40,741085.85
one,4,215,5238.46,753000.14
one,4,220,5348.35,753197.35
one,4,225,5601.10,755838.64
one,4,230,5081.32,761762.20
one,4,235,5717.58,764539.38
one,4,240,6892.31,769428.91
one,4,245,9107.69,785953.83
one,4,250,7784.62,817964.63
one,4,255,15059.34,910677.67
one,4,260,15104.40,962543.73
one,4,265,10213.19,1008840.69
one,4,270,13849.45,1031238.31
one,4,275,13863.74,1040826.98
one,4,280,12439.56,1046048.11
one,4,285,15803.30,1079541.14
one,4,290,16882.42,1102817.71
one,4,295,12116.48,1146266.15
one,6,5,795.60,60971.98
one,6,10,607.69,60971.98
one,6,15,630.77,61069.89
one,6,20,568.13,61631.66
one,6,25,608.79,65447.58
one,6,30,654.95,86586.50
one,6,35,723.08,87594.89
one,6,40,667.03,88555.18
one,6,45,750.55,132341.30
one,6,50,738.46,165094.70
one,6,55,752.75,169160.13
one,6,60,987.91,171296.65
one,6,65,865.93,171296.65
one,6,70,1145.05,175842.66
one,6,75,852.75,196093.17
one,6,80,915.38,196093.17
one,6,85,929.67,218827.22
one,6,90,1060.44,223089.66
one,6,95,882.42,226669.39
one,6,100,1105.49,250780.91
one,6,105,970.33,251119.48
one,6,110,875.82,251119.48
one,6,115,1372.53,271946.49
one,6,120,947.25,333121.78
one,6,125,1039.56,333825.83
one,6,130,1025.27,360651.78
one,6,135,1105.49,392941.41
one,6,140,1126.37,397476.97
one,6,145,1135.16,397606.80
one,6,150,1145.05,401514.14
one,6,155,1171.43,407556.38
one,6,160,1271.43,448592.64
one,6,165,1627.47,482551.45
one,6,170,1454.95,500904.47
one,6,175,1590.11,516421.36
one,6,180,1712.09,548952.23
one,6,185,2626.37,621552.82
one,6,190,2648.35,644123.61
one,6,195,2629.67,680484.36
one,6,200,3165.93,757574.62
one,6,205,3296.70,841555.69
one,6,210,3743.96,882443.14
one,6,215,3223.08,898429.35
one,6,220,4589.01,898988.50
one,6,225,3171.43,905690.15
one,6,230,4943.96,939099.09
one,6,235,5558.24,964086.17
one,6,240,4562.64,976811.02
one,6,245,6808.79,990936.59
one,6,250,6703.30,1016766.06
one,6,255,7034.07,1114533.39
one,6,260,7294.51,1176648.25
one,6,265,8947.25,1261438.10
one,6,270,8357.14,1286232.42
one,6,275,8445.05,1299919.82
one,6,280,9047.25,1308437.74
one,6,285,9703.30,1344132.40
one,6,290,9802.20,1386582.33
one,6,295,10473.63,1498347.49
one,8,5,684.62,60971.98
one,8,10,852.75,60971.98
one,8,15,729.67,61069.89
one,8,20,646.15,61631.66
one,8,25,802.20,65447.58
one,8,30,709.89,86586.50
one,8,35,853.85,87594.89
one,8,40,772.53,88555.18
one,8,45,890.11,132341.30
one,8,50,984.62,165094.70
one,8,55,860.44,169160.13
one,8,60,892.31,171296.65
one,8,65,997.80,171296.65
one,8,70,963.74,175842.66
one,8,75,881.32,196093.17
one,8,80,865.93,196093.17
one,8,85,920.88,218827.22
one,8,90,961.54,223089.66
one,8,95,949.45,226669.39
one,8,100,981.32,250780.91
one,8,105,915.38,251119.48
one,8,110,1010.99,251119.48
one,8,115,1005.49,271946.49
one,8,120,1070.33,333121.78
one,8,125,1136.26,333825.83
one,8,130,1228.57,360651.78
one,8,135,1195.60,392941.41
one,8,140,1284.62,397685.98
one,8,145,1228.57,402091.05
one,8,150,1334.07,402347.48
one,8,155,1292.31,408262.04
one,8,160,1464.84,453835.11
one,8,165,1618.68,480667.01
one,8,170,1461.54,507117.86
one,8,175,1829.67,523263.18
one,8,180,1829.67,556904.11
one,8,185,2167.03,608592.29
one,8,190,2024.18,661129.21
one,8,195,2562.64,761533.29
one,8,200,2453.85,790753.43
one,8,205,2537.36,884386.67
one,8,210,2701.10,910910.15
one,8,215,2707.69,923779.24
one,8,220,2614.29,930359.63
one,8,225,2695.60,944281.35
one,8,230,2719.78,979130.87
one,8,235,3048.35,1012988.93
one,8,240,3890.11,1021971.83
one,8,245,6272.53,1074471.53
one,8,250,8195.60,1222574.28
one,8,255,8463.74,1338544.84
