coefficient,agentNo,coefficientVal,desiredProfit,distanceRes
dist,2,16,25,61846.75
dist,3,16,25,62366.22
dist,4,16,25,62890.88
dist,6,16,25,63083.07
dist,8,16,25,63257.69
dist,10,16,25,63303.72
dist,1,32,25,55907.90
dist,2,32,25,63997.25
dist,3,32,25,66998.48
dist,4,32,25,68465.86
dist,6,32,25,68775.87
dist,8,32,25,70954.09
dist,10,32,25,68136.55
dist,1,1,30,63050.93
dist,2,1,30,82015.54
dist,3,1,30,83096.85
dist,4,1,30,83140.39
dist,6,1,30,83140.39
dist,8,1,30,83140.39
dist,10,1,30,83140.39
dist,1,2,30,61538.73
dist,2,2,30,83479.21
dist,3,2,30,83824.24
dist,4,2,30,83865.24
dist,6,2,30,83865.24
dist,8,2,30,83865.24
dist,10,2,30,83865.24
dist,1,4,30,61166.02
dist,2,4,30,82283.53
dist,3,4,30,83629.10
dist,4,4,30,84325.39
dist,6,4,30,84733.13
dist,8,4,30,84672.38
dist,10,4,30,84672.38
dist,1,8,30,60253.33
dist,2,8,30,77819.45
dist,3,8,30,79675.45
dist,4,8,30,80176.24
dist,6,8,30,80362.69
dist,8,8,30,80710.14
dist,10,8,30,80756.17
dist,1,16,30,60262.87
dist,2,16,30,77118.76
dist,3,16,30,77866.01
dist,4,16,30,78341.63
dist,6,16,30,78605.92
dist,8,16,30,78780.54
dist,10,16,30,78826.57
dist,1,32,30,58503.34
dist,2,32,30,78558.39
dist,3,32,30,83212.48
dist,4,32,30,84978.30
dist,6,32,30,85670.92
dist,8,32,30,87919.05
dist,10,32,30,85031.87
dist,1,1,35,68998.51
dist,2,1,35,82587.26
dist,3,1,35,84075.49
dist,4,1,35,84148.78
dist,6,1,35,84148.78
dist,8,1,35,84148.78
dist,10,1,35,84148.78
dist,1,2,35,64229.96
dist,2,2,35,84050.93
dist,3,2,35,84802.87
dist,4,2,35,84856.96
dist,6,2,35,84886.72
dist,8,2,35,84886.72
dist,10,2,35,84886.72
dist,1,4,35,64144.87
dist,2,4,35,83372.50
dist,3,4,35,85208.62
dist,4,4,35,85838.94
dist,6,4,35,86255.74
dist,8,4,35,86194.99
dist,10,4,35,86194.99
dist,1,8,35,63166.70
dist,2,8,35,79485.66
dist,3,8,35,80372.83
dist,4,8,35,80824.01
dist,6,8,35,81042.04
dist,8,8,35,81390.02
dist,10,8,35,81436.04
dist,1,16,35,63045.73
dist,2,16,35,77342.14
dist,3,16,35,78719.75
dist,4,16,35,79472.93
dist,6,16,35,79905.03
dist,8,16,35,80531.93
dist,10,16,35,80652.88
dist,1,32,35,61957.95
dist,2,32,35,80471.95
dist,3,32,35,87753.94
dist,4,32,35,89806.36
dist,6,32,35,91324.96
dist,8,32,35,93983.65
dist,10,32,35,91161.48
dist,1,1,40,69674.33
dist,2,1,40,84170.12
dist,3,1,40,85035.78
dist,4,1,40,85109.07
dist,6,1,40,85109.07
dist,8,1,40,85109.07
dist,10,1,40,85109.07
dist,1,2,40,64905.78
dist,2,2,40,85109.09
dist,3,2,40,85763.16
dist,4,2,40,85817.26
dist,6,2,40,85847.01
dist,8,2,40,85847.01
dist,10,2,40,85847.01
dist,1,4,40,64693.76
dist,2,4,40,84536.58
dist,3,4,40,86767.49
dist,4,4,40,87877.47
dist,6,4,40,88338.64
dist,8,4,40,88277.89
dist,10,4,40,88277.89
dist,1,8,40,63344.08
dist,2,8,40,80195.35
dist,3,8,40,81463.03
dist,4,8,40,82153.93
dist,6,8,40,82473.62
dist,8,8,40,83279.07
dist,10,8,40,83325.09
dist,1,16,40,63253.90
dist,2,16,40,77774.03
dist,3,16,40,79359.72
dist,4,16,40,80394.61
dist,6,16,40,81093.46
dist,8,16,40,81786.48
dist,10,16,40,81907.95
dist,1,32,40,62769.83
dist,2,32,40,84958.68
dist,3,32,40,89178.01
dist,4,32,40,91769.16
dist,6,32,40,94034.82
dist,8,32,40,96985.52
dist,10,32,40,94231.24
dist,1,1,45,83285.84
dist,2,1,45,120445.45
dist,3,1,45,126579.64
dist,4,1,45,126724.01
dist,6,1,45,126724.01
dist,8,1,45,126724.01
dist,10,1,45,126724.01
dist,1,2,45,74825.45
dist,2,2,45,119181.93
dist,3,2,45,121680.54
dist,4,2,45,121822.37
dist,6,2,45,121852.12
dist,8,2,45,121852.12
dist,10,2,45,121852.12
dist,1,4,45,74844.86
dist,2,4,45,112876.84
dist,3,4,45,118292.53
