agents,kmax,percent,ratio,profit,distance
1,10,80,0.09,50,105907.26
1,10,80,0.09,65,142938.87
1,10,80,0.09,80,155032.11
1,10,80,0.09,95,166399.58
1,10,80,0.09,110,172790.28
1,10,80,0.09,125,177533.20
1,10,80,0.09,140,238697.15
1,10,80,0.09,155,240754.53
1,10,80,0.09,170,242306.25
1,10,80,0.09,185,250015.98
1,10,80,0.09,200,263129.18
1,10,80,0.09,215,306171.25
1,10,80,0.09,230,514972.11
1,10,80,0.09,245,515741.40
1,10,80,0.09,260,524552.04
1,10,80,0.09,275,600021.13
1,10,80,0.09,290,631465.34
1,10,80,0.10,5,60922.88
1,10,80,0.10,20,61538.91
1,10,80,0.10,35,69838.01
1,10,80,0.10,50,105907.26
1,10,80,0.10,65,142938.87
1,10,80,0.10,80,155032.11
1,10,80,0.10,95,166399.58
1,10,80,0.10,110,172790.28
1,10,80,0.10,125,177533.20
1,10,80,0.10,140,238697.15
1,10,80,0.10,155,240754.53
1,10,80,0.10,170,242306.25
1,10,80,0.10,185,250133.04
1,10,80,0.10,200,263104.81
1,10,80,0.10,215,306257.45
1,10,80,0.10,230,514979.17
1,10,80,0.10,245,515741.40
1,10,80,0.10,260,524567.23
1,10,80,0.10,275,600003.45
1,10,80,0.10,290,632486.14
1,10,80,0.11,5,60922.88
1,10,80,0.11,20,61538.91
1,10,80,0.11,35,69838.01
1,10,80,0.11,50,105907.26
1,10,80,0.11,65,142938.87
1,10,80,0.11,80,155032.11
1,10,80,0.11,95,166399.58
1,10,80,0.11,110,172790.28
1,10,80,0.11,125,177533.20
1,10,80,0.11,140,238697.15
1,10,80,0.11,155,240754.53
1,10,80,0.11,170,242341.18
1,10,80,0.11,185,250141.93
1,10,80,0.11,200,263087.52
1,10,80,0.11,215,305883.21
1,10,80,0.11,230,514979.17
1,10,80,0.11,245,515741.40
1,10,80,0.11,260,524567.23
1,10,80,0.11,275,600003.45
1,10,80,0.11,290,632691.87
1,10,80,0.12,5,60922.88
1,10,80,0.12,20,61538.91
1,10,80,0.12,35,69838.01
1,10,80,0.12,50,105907.26
1,10,80,0.12,65,142938.87
1,10,80,0.12,80,155032.11
1,10,80,0.12,95,166315.69
1,10,80,0.12,110,172790.28
1,10,80,0.12,125,177533.20
1,10,80,0.12,140,238697.15
1,10,80,0.12,155,240754.53
1,10,80,0.12,170,242341.18
1,10,80,0.12,185,250141.93
1,10,80,0.12,200,263105.31
1,10,80,0.12,215,305883.21
1,10,80,0.12,230,514902.85
1,10,80,0.12,245,516371.98
1,10,80,0.12,260,524454.55
1,10,80,0.12,275,600018.64
1,10,80,0.12,290,632476.87
1,10,80,0.13,5,60922.88
1,10,80,0.13,20,61538.91
1,10,80,0.13,35,69838.01
1,10,80,0.13,50,105907.26
1,10,80,0.13,65,142933.67
1,10,80,0.13,80,155026.91
1,10,80,0.13,95,166194.90
1,10,80,0.13,110,172790.28
1,10,80,0.13,125,177533.20
1,10,80,0.13,140,238697.15
1,10,80,0.13,155,240754.53
1,10,80,0.13,170,242690.18
1,10,80,0.13,185,250233.97
1,10,80,0.13,200,263208.63
1,10,80,0.13,215,306353.30
1,10,80,0.13,230,515775.81
1,10,80,0.13,245,517297.43
1,10,80,0.13,260,525077.82
1,10,80,0.13,275,600263.37
1,10,80,0.13,290,632352.32
1,10,80,0.14,5,60922.88
1,10,80,0.14,20,61538.91
1,10,80,0.14,35,69838.01
1,10,80,0.14,50,105907.26
1,10,80,0.14,65,142933.67
1,10,80,0.14,80,155026.91
1,10,80,0.14,95,166194.90
1,10,80,0.14,110,172790.28
1,10,80,0.14,125,177533.20
1,10,80,0.14,140,238697.15
1,10,80,0.14,155,240754.53
1,10,80,0.14,170,242690.18
1,10,80,0.14,185,250225.07
1,10,80,0.14,200,263232.30
1,10,80,0.14,215,306518.31
1,10,80,0.14,230,515775.81
1,10,80,0.14,245,517197.81
1,10,80,0.14,260,525450.58
1,10,80,0.14,275,600248.18
1,10,80,0.14,290,632716.95
1,10,80,0.15,5,60922.88
1,10,80,0.15,20,61538.91
1,10,80,0.15,35,69838.01
1,10,80,0.15,50,105907.26
1,10,80,0.15,65,142938.87
1,10,80,0.15,80,155032.11
1,10,80,0.15,95,166194.90
1,10,80,0.15,110,172790.28
1,10,80,0.15,125,177533.20
1,10,80,0.15,140,238697.15
1,10,80,0.15,155,240754.53
1,10,80,0.15,170,242690.18
1,10,80,0.15,185,250244.86
1,10,80,0.15,200,263269.11
1,10,80,0.15,215,306610.67
1,10,80,0.15,230,515797.89
1,10,80,0.15,245,517194.32
1,10,80,0.15,260,525356.37
1,10,80,0.15,275,600021.20
1,10,80,0.15,290,632632.99
1,10,80,0.16,5,60922.88
1,10,80,0.16,20,61538.91
1,10,80,0.16,35,69838.01
1,10,80,0.16,50,105907.26
1,10,80,0.16,65,142938.87
1,10,80,0.16,80,155032.11
1,10,80,0.16,95,166194.90
1,10,80,0.16,110,172790.28
1,10,80,0.16,125,177533.20
1,10,80,0.16,140,238697.15
1,10,80,0.16,155,240754.53
1,10,80,0.16,170,242690.18
1,10,80,0.16,185,250244.86
1,10,80,0.16,200,263178.39
1,10,80,0.16,215,306405.15
1,10,80,0.16,230,515685.19
1,10,80,0.16,245,517172.34
1,10,80,0.16,260,525449.20
1,10,80,0.16,275,600021.20
1,10,80,0.16,290,632531.23
1,10,80,0.17,5,60922.88
1,10,80,0.17,20,61538.91
1,10,80,0.17,35,69838.01
1,10,80,0.17,50,105907.26
1,10,80,0.17,65,142938.87
1,10,80,0.17,80,154994.64
1,10,80,0.17,95,166194.90
1,10,80,0.17,110,172790.28
1,10,80,0.17,125,177533.20
1,10,80,0.17,140,238822.88
1,10,80,0.17,155,240880.26
1,10,80,0.17,170,242815.90
1,10,80,0.17,185,250217.47
1,10,80,0.17,200,263178.39
1,10,80,0.17,215,306337.09
1,10,80,0.17,230,515676.30
1,10,80,0.17,245,517163.45
1,10,80,0.17,260,525440.30
1,10,80,0.17,275,600060.17
1,10,80,0.17,290,632422.72
1,10,80,0.18,5,60922.88
1,10,80,0.18,20,61538.91
1,10,80,0.18,35,69838.01
1,10,80,0.18,50,105907.26
1,10,80,0.18,65,142938.87
1,10,80,0.18,80,154994.64
1,10,80,0.18,95,166194.90
1,10,80,0.18,110,172790.28
1,10,80,0.18,125,177533.20
1,10,80,0.18,140,238822.88
1,10,80,0.18,155,240880.26
1,10,80,0.18,170,242772.07
1,10,80,0.18,185,250217.47
1,10,80,0.18,200,263159.55
1,10,80,0.18,215,305912.12
1,10,80,0.18,230,515635.86
1,10,80,0.18,245,517135.85
1,10,80,0.18,260,525398.53
1,10,80,0.18,275,606198.52
1,10,80,0.18,290,630996.01
1,10,80,0.19,5,60922.88
1,10,80,0.19,20,61538.91
1,10,80,0.19,35,69838.01
1,10,80,0.19,50,105907.26
1,10,80,0.19,65,142938.87
1,10,80,0.19,80,154994.64
1,10,80,0.19,95,166194.90
1,10,80,0.19,110,172790.28
1,10,80,0.19,125,177533.20
1,10,80,0.19,140,238822.88
1,10,80,0.19,155,240880.26
1,10,80,0.19,170,242772.07
1,10,80,0.19,185,250223.77
1,10,80,0.19,200,263143.68
1,10,80,0.19,215,305843.31
1,10,80,0.19,230,514490.60
1,10,80,0.19,245,515986.41
1,10,80,0.19,260,524341.86
1,10,80,0.19,275,606204.82
1,10,80,0.19,290,631189.39
1,10,80,0.20,5,60922.88
1,10,80,0.20,20,61538.91
1,10,80,0.20,35,69838.01
1,10,80,0.20,50,105907.26
1,10,80,0.20,65,142938.87
1,10,80,0.20,80,154994.64
1,10,80,0.20,95,166194.90
1,10,80,0.20,110,172790.28
1,10,80,0.20,125,177533.20
1,10,80,0.20,140,239345.48
1,10,80,0.20,155,241402.87
1,10,80,0.20,170,243324.04
1,10,80,0.20,185,250259.61
1,10,80,0.20,200,262966.93
1,10,80,0.20,215,305837.94
1,10,80,0.20,230,514572.68
1,10,80,0.20,245,516074.79
1,10,80,0.20,260,524330.59
1,10,80,0.20,275,607274.19
1,10,80,0.20,290,631051.39
