agents,kmax,percent,ratio,profit,distance
1,9,80,0.70,50,105937.03
1,9,80,0.70,65,142861.38
1,9,80,0.70,80,156353.50
1,9,80,0.70,95,166604.92
1,9,80,0.70,110,173437.16
1,9,80,0.70,125,177808.74
1,9,80,0.70,140,239226.46
1,9,80,0.70,155,241524.28
1,9,80,0.70,170,243332.50
1,9,80,0.70,185,250315.81
1,9,80,0.70,200,264819.99
1,9,80,0.70,215,310931.09
1,9,80,0.70,230,516334.94
1,9,80,0.70,245,517991.51
1,9,80,0.70,260,526203.26
1,9,80,0.70,275,605356.80
1,9,80,0.70,290,630820.19
1,10,80,0.70,5,60922.88
1,10,80,0.70,20,61538.91
1,10,80,0.70,35,68754.87
1,10,80,0.70,50,105937.03
1,10,80,0.70,65,142861.38
1,10,80,0.70,80,156353.50
1,10,80,0.70,95,166604.92
1,10,80,0.70,110,173437.16
1,10,80,0.70,125,177808.74
1,10,80,0.70,140,239226.46
1,10,80,0.70,155,241524.28
1,10,80,0.70,170,243332.50
1,10,80,0.70,185,250315.81
1,10,80,0.70,200,264819.99
1,10,80,0.70,215,310931.09
1,10,80,0.70,230,516334.94
1,10,80,0.70,245,517991.51
1,10,80,0.70,260,526203.26
1,10,80,0.70,275,605356.80
1,10,80,0.70,290,630820.19
1,11,80,0.70,5,60922.88
1,11,80,0.70,20,61538.91
1,11,80,0.70,35,68754.87
1,11,80,0.70,50,105937.03
1,11,80,0.70,65,142861.38
1,11,80,0.70,80,156353.50
1,11,80,0.70,95,166604.92
1,11,80,0.70,110,173437.16
1,11,80,0.70,125,177808.74
1,11,80,0.70,140,239226.46
1,11,80,0.70,155,241524.28
1,11,80,0.70,170,243332.50
1,11,80,0.70,185,250315.81
1,11,80,0.70,200,264819.99
1,11,80,0.70,215,310931.09
1,11,80,0.70,230,516334.94
1,11,80,0.70,245,517991.51
1,11,80,0.70,260,526203.26
1,11,80,0.70,275,605356.80
1,11,80,0.70,290,630820.19
1,12,80,0.70,5,60922.88
1,12,80,0.70,20,61538.91
1,12,80,0.70,35,68754.87
1,12,80,0.70,50,105937.03
1,12,80,0.70,65,142861.38
1,12,80,0.70,80,156353.50
1,12,80,0.70,95,166604.92
1,12,80,0.70,110,173437.16
1,12,80,0.70,125,177808.74
1,12,80,0.70,140,239226.46
1,12,80,0.70,155,241524.28
1,12,80,0.70,170,243332.50
1,12,80,0.70,185,250315.81
1,12,80,0.70,200,264819.99
1,12,80,0.70,215,310931.09
1,12,80,0.70,230,516334.94
1,12,80,0.70,245,517991.51
1,12,80,0.70,260,526203.26
1,12,80,0.70,275,605356.80
1,12,80,0.70,290,630820.19
1,13,80,0.70,5,60922.88
1,13,80,0.70,20,61538.91
1,13,80,0.70,35,68754.87
1,13,80,0.70,50,105937.03
1,13,80,0.70,65,142861.38
1,13,80,0.70,80,156353.50
1,13,80,0.70,95,166604.92
1,13,80,0.70,110,173437.16
1,13,80,0.70,125,177808.74
1,13,80,0.70,140,239226.46
1,13,80,0.70,155,241524.28
1,13,80,0.70,170,243332.50
1,13,80,0.70,185,250315.81
1,13,80,0.70,200,264819.99
1,13,80,0.70,215,310931.09
1,13,80,0.70,230,516334.94
1,13,80,0.70,245,517991.51
1,13,80,0.70,260,526203.26
1,13,80,0.70,275,605356.80
1,13,80,0.70,290,630820.19
1,14,80,0.70,5,60922.88
1,14,80,0.70,20,61538.91
1,14,80,0.70,35,68754.87
1,14,80,0.70,50,105937.03
1,14,80,0.70,65,142861.38
1,14,80,0.70,80,156353.50
1,14,80,0.70,95,166604.92
1,14,80,0.70,110,173437.16
1,14,80,0.70,125,177808.74
1,14,80,0.70,140,239226.46
1,14,80,0.70,155,241524.28
1,14,80,0.70,170,243332.50
1,14,80,0.70,185,250315.81
1,14,80,0.70,200,264819.99
1,14,80,0.70,215,310931.09
1,14,80,0.70,230,516334.94
1,14,80,0.70,245,517991.51
1,14,80,0.70,260,526203.26
1,14,80,0.70,275,605356.80
1,14,80,0.70,290,630820.19
1,15,80,0.70,5,60922.88
1,15,80,0.70,20,61538.91
1,15,80,0.70,35,68754.87
1,15,80,0.70,50,105937.03
1,15,80,0.70,65,142861.38
1,15,80,0.70,80,156353.50
1,15,80,0.70,95,166604.92
1,15,80,0.70,110,173437.16
1,15,80,0.70,125,177808.74
1,15,80,0.70,140,239226.46
1,15,80,0.70,155,241524.28
1,15,80,0.70,170,243332.50
1,15,80,0.70,185,250315.81
1,15,80,0.70,200,264819.99
1,15,80,0.70,215,310931.09
1,15,80,0.70,230,516334.94
1,15,80,0.70,245,517991.51
1,15,80,0.70,260,526203.26
1,15,80,0.70,275,605356.80
1,15,80,0.70,290,630820.19
1,16,80,0.70,5,60922.88
1,16,80,0.70,20,61538.91
1,16,80,0.70,35,68754.87
1,16,80,0.70,50,105937.03
1,16,80,0.70,65,142861.38
1,16,80,0.70,80,156353.50
1,16,80,0.70,95,166604.92
1,16,80,0.70,110,173437.16
1,16,80,0.70,125,177808.74
1,16,80,0.70,140,239226.46
1,16,80,0.70,155,241524.28
1,16,80,0.70,170,243332.50
1,16,80,0.70,185,250315.81
1,16,80,0.70,200,264819.99
1,16,80,0.70,215,310931.09
1,16,80,0.70,230,516334.94
1,16,80,0.70,245,517991.51
1,16,80,0.70,260,526203.26
1,16,80,0.70,275,605356.80
1,16,80,0.70,290,630820.19
1,17,80,0.70,5,60922.88
1,17,80,0.70,20,61538.91
1,17,80,0.70,35,68754.87
1,17,80,0.70,50,105937.03
1,17,80,0.70,65,142861.38
1,17,80,0.70,80,156353.50
1,17,80,0.70,95,166604.92
1,17,80,0.70,110,173437.16
1,17,80,0.70,125,177808.74
1,17,80,0.70,140,239226.46
1,17,80,0.70,155,241524.28
1,17,80,0.70,170,243332.50
1,17,80,0.70,185,250315.81
1,17,80,0.70,200,264819.99
1,17,80,0.70,215,310931.09
1,17,80,0.70,230,516334.94
1,17,80,0.70,245,517991.51
1,17,80,0.70,260,526203.26
1,17,80,0.70,275,605356.80
1,17,80,0.70,290,630820.19
1,18,80,0.70,5,60922.88
1,18,80,0.70,20,61538.91
1,18,80,0.70,35,68754.87
1,18,80,0.70,50,105937.03
1,18,80,0.70,65,142861.38
1,18,80,0.70,80,156353.50
1,18,80,0.70,95,166604.92
1,18,80,0.70,110,173437.16
1,18,80,0.70,125,177808.74
1,18,80,0.70,140,239226.46
1,18,80,0.70,155,241524.28
1,18,80,0.70,170,243332.50
1,18,80,0.70,185,250315.81
1,18,80,0.70,200,264819.99
1,18,80,0.70,215,310931.09
1,18,80,0.70,230,516334.94
1,18,80,0.70,245,517991.51
1,18,80,0.70,260,526203.26
1,18,80,0.70,275,605356.80
1,18,80,0.70,290,630820.19
1,19,80,0.70,5,60922.88
1,19,80,0.70,20,61538.91
1,19,80,0.70,35,68754.87
1,19,80,0.70,50,105937.03
1,19,80,0.70,65,142861.38
1,19,80,0.70,80,156353.50
1,19,80,0.70,95,166604.92
1,19,80,0.70,110,173437.16
1,19,80,0.70,125,177808.74
1,19,80,0.70,140,239226.46
1,19,80,0.70,155,241524.28
1,19,80,0.70,170,243332.50
1,19,80,0.70,185,250315.81
1,19,80,0.70,200,264819.99
1,19,80,0.70,215,310931.09
1,19,80,0.70,230,516334.94
1,19,80,0.70,245,517991.51
1,19,80,0.70,260,526203.26
1,19,80,0.70,275,605356.80
1,19,80,0.70,290,630820.19
1,20,80,0.70,5,60922.88
1,20,80,0.70,20,61538.91
1,20,80,0.70,35,68754.87
1,20,80,0.70,50,105937.03
1,20,80,0.70,65,142861.38
1,20,80,0.70,80,156353.50
1,20,80,0.70,95,166604.92
1,20,80,0.70,110,173437.16
1,20,80,0.70,125,177808.74
1,20,80,0.70,140,239226.46
1,20,80,0.70,155,241524.28
1,20,80,0.70,170,243332.50
1,20,80,0.70,185,250315.81
1,20,80,0.70,200,264819.99
1,20,80,0.70,215,310931.09
1,20,80,0.70,230,516334.94
1,20,80,0.70,245,517991.51
1,20,80,0.70,260,526203.26
1,20,80,0.70,275,605356.80
1,20,80,0.70,290,630820.19
1,21,80,0.70,5,60922.88
1,21,80,0.70,20,61538.91
1,21,80,0.70,35,68754.87
1,21,80,0.70,50,105937.03
1,21,80,0.70,65,142861.38
1,21,80,0.70,80,156353.50
1,21,80,0.70,95,166604.92
1,21,80,0.70,110,173437.16
1,21,80,0.70,125,177808.74
1,21,80,0.70,140,239226.46
1,21,80,0.70,155,241524.28
1,21,80,0.70,170,243332.50
1,21,80,0.70,185,250315.81
1,21,80,0.70,200,264819.99
1,21,80,0.70,215,310931.09
1,21,80,0.70,230,516334.94
1,21,80,0.70,245,517991.51
1,21,80,0.70,260,526203.26
1,21,80,0.70,275,605356.80
1,21,80,0.70,290,630820.19
1,22,80,0.70,5,60922.88
1,22,80,0.70,20,61538.91
1,22,80,0.70,35,68754.87
1,22,80,0.70,50,105937.03
1,22,80,0.70,65,142861.38
1,22,80,0.70,80,156353.50
1,22,80,0.70,95,166604.92
1,22,80,0.70,110,173437.16
1,22,80,0.70,125,177808.74
1,22,80,0.70,140,239226.46
1,22,80,0.70,155,241524.28
1,22,80,0.70,170,243332.50
1,22,80,0.70,185,250315.81
1,22,80,0.70,200,264819.99
1,22,80,0.70,215,310931.09
1,22,80,0.70,230,516334.94
1,22,80,0.70,245,517991.51
1,22,80,0.70,260,526203.26
1,22,80,0.70,275,605356.80
1,22,80,0.70,290,630820.19
1,23,80,0.70,5,60922.88
1,23,80,0.70,20,61538.91
1,23,80,0.70,35,68754.87
1,23,80,0.70,50,105937.03
1,23,80,0.70,65,142861.38
1,23,80,0.70,80,156353.50
1,23,80,0.70,95,166604.92
1,23,80,0.70,110,173437.16
1,23,80,0.70,125,177808.74
1,23,80,0.70,140,239226.46
1,23,80,0.70,155,241524.28
1,23,80,0.70,170,243332.50
1,23,80,0.70,185,250315.81
1,23,80,0.70,200,264819.99
1,23,80,0.70,215,310931.09
1,23,80,0.70,230,516334.94
1,23,80,0.70,245,517991.51
1,23,80,0.70,260,526203.26
1,23,80,0.70,275,605356.80
1,23,80,0.70,290,630820.19
1,24,80,0.70,5,60922.88
1,24,80,0.70,20,61538.91
1,24,80,0.70,35,68754.87
1,24,80,0.70,50,105937.03
1,24,80,0.70,65,142861.38
1,24,80,0.70,80,156353.50
1,24,80,0.70,95,166604.92
1,24,80,0.70,110,173437.16
1,24,80,0.70,125,177808.74
1,24,80,0.70,140,239226.46
1,24,80,0.70,155,241524.28
1,24,80,0.70,170,243332.50
1,24,80,0.70,185,250315.81
1,24,80,0.70,200,264819.99
1,24,80,0.70,215,310931.09
1,24,80,0.70,230,516334.94
1,24,80,0.70,245,517991.51
1,24,80,0.70,260,526203.26
1,24,80,0.70,275,605356.80
1,24,80,0.70,290,630820.19
1,25,80,0.70,5,60922.88
