agents,kmax,percent,ratio,profit,distance
1,1,10,0.90,50,106492.46
1,1,10,0.90,65,142638.45
1,1,10,0.90,80,156529.60
1,1,10,0.90,95,166085.14
1,1,10,0.90,110,172916.62
1,1,10,0.90,125,177330.84
1,1,10,0.90,140,239226.86
1,1,10,0.90,155,241044.02
1,1,10,0.90,170,242414.10
1,1,10,0.90,185,249944.91
1,1,10,0.90,200,262499.54
1,1,10,0.90,215,307906.69
1,1,10,0.90,230,509085.24
1,1,10,0.90,245,514403.67
1,1,10,0.90,260,521890.24
1,1,10,0.90,275,611717.55
1,1,10,0.90,290,626329.67
1,1,10,1.00,5,60922.88
1,1,10,1.00,20,61538.91
1,1,10,1.00,35,69889.52
1,1,10,1.00,50,106492.46
1,1,10,1.00,65,142638.45
1,1,10,1.00,80,156529.60
1,1,10,1.00,95,166159.50
1,1,10,1.00,110,172985.86
1,1,10,1.00,125,177479.23
1,1,10,1.00,140,239379.71
1,1,10,1.00,155,241273.08
1,1,10,1.00,170,242673.99
1,1,10,1.00,185,250556.78
1,1,10,1.00,200,263216.02
1,1,10,1.00,215,309533.69
1,1,10,1.00,230,510281.11
1,1,10,1.00,245,515524.29
1,1,10,1.00,260,523272.94
1,1,10,1.00,275,607658.51
1,1,10,1.00,290,630258.69
1,1,20,0.10,5,60922.88
1,1,20,0.10,20,61538.91
1,1,20,0.10,35,69889.52
1,1,20,0.10,50,105899.32
1,1,20,0.10,65,142902.13
1,1,20,0.10,80,156113.30
1,1,20,0.10,95,166262.55
1,1,20,0.10,110,172909.65
1,1,20,0.10,125,177460.10
1,1,20,0.10,140,238567.42
1,1,20,0.10,155,240621.12
1,1,20,0.10,170,241968.87
1,1,20,0.10,185,249604.83
1,1,20,0.10,200,262070.61
1,1,20,0.10,215,307610.41
1,1,20,0.10,230,507585.69
1,1,20,0.10,245,513989.32
1,1,20,0.10,260,519419.35
1,1,20,0.10,275,604210.14
1,1,20,0.10,290,614762.23
1,1,20,0.20,5,60922.88
1,1,20,0.20,20,61538.91
1,1,20,0.20,35,69889.52
1,1,20,0.20,50,105899.32
1,1,20,0.20,65,142902.13
1,1,20,0.20,80,156113.30
1,1,20,0.20,95,166262.55
1,1,20,0.20,110,172909.65
1,1,20,0.20,125,177460.10
1,1,20,0.20,140,238567.42
1,1,20,0.20,155,240621.12
1,1,20,0.20,170,241968.87
1,1,20,0.20,185,249604.83
1,1,20,0.20,200,262070.61
1,1,20,0.20,215,307706.54
1,1,20,0.20,230,507702.98
1,1,20,0.20,245,514106.61
1,1,20,0.20,260,519537.83
1,1,20,0.20,275,604313.99
1,1,20,0.20,290,614941.18
1,1,20,0.30,5,60922.88
1,1,20,0.30,20,61538.91
1,1,20,0.30,35,69889.52
1,1,20,0.30,50,105899.32
1,1,20,0.30,65,142902.13
1,1,20,0.30,80,156113.30
1,1,20,0.30,95,166262.55
1,1,20,0.30,110,172909.65
1,1,20,0.30,125,177460.10
1,1,20,0.30,140,238567.42
1,1,20,0.30,155,240621.12
1,1,20,0.30,170,241968.87
1,1,20,0.30,185,249604.83
1,1,20,0.30,200,262041.93
1,1,20,0.30,215,307591.43
1,1,20,0.30,230,507877.89
1,1,20,0.30,245,514197.36
1,1,20,0.30,260,519712.37
1,1,20,0.30,275,604560.59
1,1,20,0.30,290,615187.48
1,1,20,0.40,5,60922.88
1,1,20,0.40,20,61538.91
1,1,20,0.40,35,69889.52
1,1,20,0.40,50,105899.32
1,1,20,0.40,65,142902.13
1,1,20,0.40,80,156113.30
1,1,20,0.40,95,166262.55
1,1,20,0.40,110,172909.65
1,1,20,0.40,125,177460.10
1,1,20,0.40,140,238567.42
1,1,20,0.40,155,240621.12
1,1,20,0.40,170,241968.87
1,1,20,0.40,185,249604.83
1,1,20,0.40,200,262049.00
1,1,20,0.40,215,307669.54
1,1,20,0.40,230,508751.38
1,1,20,0.40,245,515107.85
1,1,20,0.40,260,520815.26
1,1,20,0.40,275,605154.07
1,1,20,0.40,290,615845.74
1,1,20,0.50,5,60922.88
1,1,20,0.50,20,61538.91
1,1,20,0.50,35,69889.52
1,1,20,0.50,50,105899.32
1,1,20,0.50,65,142902.13
1,1,20,0.50,80,156113.30
1,1,20,0.50,95,166277.70
1,1,20,0.50,110,172975.61
1,1,20,0.50,125,177499.36
1,1,20,0.50,140,238567.42
1,1,20,0.50,155,240717.40
1,1,20,0.50,170,242068.09
1,1,20,0.50,185,250138.22
1,1,20,0.50,200,262868.80
1,1,20,0.50,215,307344.18
1,1,20,0.50,230,509009.61
1,1,20,0.50,245,515343.08
1,1,20,0.50,260,521144.45
1,1,20,0.50,275,605898.60
1,1,20,0.50,290,616530.36
1,1,20,0.60,5,60922.88
1,1,20,0.60,20,61538.91
1,1,20,0.60,35,69889.52
1,1,20,0.60,50,105899.32
1,1,20,0.60,65,142902.13
1,1,20,0.60,80,156113.30
1,1,20,0.60,95,166277.70
1,1,20,0.60,110,172975.61
1,1,20,0.60,125,177499.36
1,1,20,0.60,140,238567.42
1,1,20,0.60,155,240717.40
1,1,20,0.60,170,242068.09
1,1,20,0.60,185,250218.09
1,1,20,0.60,200,262926.58
1,1,20,0.60,215,306857.32
1,1,20,0.60,230,509121.72
1,1,20,0.60,245,514285.59
1,1,20,0.60,260,521824.60
1,1,20,0.60,275,609212.68
1,1,20,0.60,290,618933.12
1,1,20,0.70,5,60922.88
1,1,20,0.70,20,61538.91
1,1,20,0.70,35,69889.52
1,1,20,0.70,50,105899.32
1,1,20,0.70,65,142902.13
1,1,20,0.70,80,156113.30
1,1,20,0.70,95,166277.70
1,1,20,0.70,110,172975.61
1,1,20,0.70,125,177499.36
1,1,20,0.70,140,238604.55
1,1,20,0.70,155,240754.53
1,1,20,0.70,170,242105.22
1,1,20,0.70,185,250225.87
1,1,20,0.70,200,263047.76
1,1,20,0.70,215,306853.04
1,1,20,0.70,230,509360.91
1,1,20,0.70,245,514807.99
1,1,20,0.70,260,522062.88
1,1,20,0.70,275,612650.22
1,1,20,0.70,290,622561.86
1,1,20,0.80,5,60922.88
1,1,20,0.80,20,61538.91
1,1,20,0.80,35,69889.52
1,1,20,0.80,50,105899.32
1,1,20,0.80,65,142902.13
1,1,20,0.80,80,156113.30
1,1,20,0.80,95,166277.70
1,1,20,0.80,110,172975.61
1,1,20,0.80,125,177508.04
1,1,20,0.80,140,238604.55
1,1,20,0.80,155,240754.53
1,1,20,0.80,170,242105.22
1,1,20,0.80,185,250258.10
1,1,20,0.80,200,263150.94
1,1,20,0.80,215,306881.90
1,1,20,0.80,230,509597.67
1,1,20,0.80,245,515034.00
1,1,20,0.80,260,522315.60
1,1,20,0.80,275,613359.25
1,1,20,0.80,290,624709.19
1,1,20,0.90,5,60922.88
1,1,20,0.90,20,61538.91
1,1,20,0.90,35,69889.52
1,1,20,0.90,50,105899.32
1,1,20,0.90,65,142902.13
1,1,20,0.90,80,156113.30
1,1,20,0.90,95,166277.70
1,1,20,0.90,110,172975.61
1,1,20,0.90,125,177508.04
1,1,20,0.90,140,238604.55
1,1,20,0.90,155,240754.53
1,1,20,0.90,170,242105.22
1,1,20,0.90,185,250285.64
1,1,20,0.90,200,263178.48
1,1,20,0.90,215,307378.07
1,1,20,0.90,230,510034.56
1,1,20,0.90,245,515498.42
1,1,20,0.90,260,522884.33
1,1,20,0.90,275,612677.73
1,1,20,0.90,290,626750.00
1,1,20,1.00,5,60922.88
1,1,20,1.00,20,61538.91
1,1,20,1.00,35,69889.52
1,1,20,1.00,50,106509.92
1,1,20,1.00,65,142794.36
1,1,20,1.00,80,155456.53
1,1,20,1.00,95,166388.95
1,1,20,1.00,110,173212.34
1,1,20,1.00,125,177705.12
1,1,20,1.00,140,239667.86
1,1,20,1.00,155,241608.93
1,1,20,1.00,170,243312.07
1,1,20,1.00,185,251079.02
1,1,20,1.00,200,263403.27
1,1,20,1.00,215,309677.31
1,1,20,1.00,230,510428.08
1,1,20,1.00,245,515450.00
1,1,20,1.00,260,523650.31
1,1,20,1.00,275,607526.72
1,1,20,1.00,290,631317.83
1,1,30,0.10,5,60922.88
1,1,30,0.10,20,61538.91
1,1,30,0.10,35,69834.99
1,1,30,0.10,50,105899.32
1,1,30,0.10,65,142935.36
1,1,30,0.10,80,154936.63
1,1,30,0.10,95,166368.48
1,1,30,0.10,110,172932.20
1,1,30,0.10,125,177360.11
1,1,30,0.10,140,238368.95
1,1,30,0.10,155,240219.63
1,1,30,0.10,170,242129.17
1,1,30,0.10,185,249966.37
1,1,30,0.10,200,261719.63
1,1,30,0.10,215,307178.86
1,1,30,0.10,230,506603.92
1,1,30,0.10,245,513152.50
1,1,30,0.10,260,520411.30
1,1,30,0.10,275,603839.19
1,1,30,0.10,290,613474.75
1,1,30,0.20,5,60922.88
1,1,30,0.20,20,61538.91
1,1,30,0.20,35,69834.99
1,1,30,0.20,50,105899.32
1,1,30,0.20,65,142935.36
1,1,30,0.20,80,154936.63
1,1,30,0.20,95,166368.48
1,1,30,0.20,110,172932.20
1,1,30,0.20,125,177360.11
1,1,30,0.20,140,238368.95
1,1,30,0.20,155,240219.63
1,1,30,0.20,170,242129.17
1,1,30,0.20,185,249966.37
1,1,30,0.20,200,261747.95
1,1,30,0.20,215,307095.48
1,1,30,0.20,230,511163.01
1,1,30,0.20,245,513909.50
1,1,30,0.20,260,520979.49
1,1,30,0.20,275,604210.98
1,1,30,0.20,290,614048.67
1,1,30,0.30,5,60922.88
1,1,30,0.30,20,61538.91
1,1,30,0.30,35,69834.99
1,1,30,0.30,50,105899.32
1,1,30,0.30,65,142935.36
1,1,30,0.30,80,154936.63
1,1,30,0.30,95,166368.48
1,1,30,0.30,110,172932.20
1,1,30,0.30,125,177360.11
1,1,30,0.30,140,238368.95
1,1,30,0.30,155,240219.63
1,1,30,0.30,170,242129.17
1,1,30,0.30,185,249966.37
1,1,30,0.30,200,261974.79
1,1,30,0.30,215,307271.21
1,1,30,0.30,230,512699.44
