agents,kmax,percent,ratio,profit,distance
1,10,9,0.70,50,106492.46
1,10,9,0.70,65,142638.45
1,10,9,0.70,80,156529.60
1,10,9,0.70,95,166102.49
1,10,9,0.70,110,172874.77
1,10,9,0.70,125,177307.21
1,10,9,0.70,140,239226.86
1,10,9,0.70,155,241121.26
1,10,9,0.70,170,242495.77
1,10,9,0.70,185,250192.73
1,10,9,0.70,200,261917.67
1,10,9,0.70,215,306901.45
1,10,9,0.70,230,506278.65
1,10,9,0.70,245,511513.94
1,10,9,0.70,260,518427.26
1,10,9,0.70,275,590549.60
1,10,9,0.70,290,600669.85
1,10,10,0.70,5,60922.88
1,10,10,0.70,20,61538.91
1,10,10,0.70,35,69889.52
1,10,10,0.70,50,106492.46
1,10,10,0.70,65,142638.45
1,10,10,0.70,80,156529.60
1,10,10,0.70,95,166085.14
1,10,10,0.70,110,172699.53
1,10,10,0.70,125,177005.81
1,10,10,0.70,140,239226.86
1,10,10,0.70,155,241025.37
1,10,10,0.70,170,242395.45
1,10,10,0.70,185,249805.19
1,10,10,0.70,200,261705.03
1,10,10,0.70,215,305996.57
1,10,10,0.70,230,504882.18
1,10,10,0.70,245,510008.69
1,10,10,0.70,260,518039.58
1,10,10,0.70,275,588158.69
1,10,10,0.70,290,599220.83
1,10,11,0.70,5,60922.88
1,10,11,0.70,20,61538.91
1,10,11,0.70,35,69889.52
1,10,11,0.70,50,106492.46
1,10,11,0.70,65,142638.45
1,10,11,0.70,80,156529.60
1,10,11,0.70,95,166085.14
1,10,11,0.70,110,172699.53
1,10,11,0.70,125,177005.81
1,10,11,0.70,140,239226.86
1,10,11,0.70,155,241025.37
1,10,11,0.70,170,242395.45
1,10,11,0.70,185,249805.19
1,10,11,0.70,200,261983.42
1,10,11,0.70,215,306014.03
1,10,11,0.70,230,505248.70
1,10,11,0.70,245,510431.86
1,10,11,0.70,260,517956.90
1,10,11,0.70,275,586722.56
1,10,11,0.70,290,599061.15
1,10,12,0.70,5,60922.88
1,10,12,0.70,20,61538.91
1,10,12,0.70,35,69889.52
1,10,12,0.70,50,106492.46
1,10,12,0.70,65,142619.65
1,10,12,0.70,80,156510.80
1,10,12,0.70,95,166074.10
1,10,12,0.70,110,172399.54
1,10,12,0.70,125,176892.66
1,10,12,0.70,140,239203.68
1,10,12,0.70,155,240853.65
1,10,12,0.70,170,242185.55
1,10,12,0.70,185,249496.73
1,10,12,0.70,200,261591.64
1,10,12,0.70,215,305258.00
1,10,12,0.70,230,505804.16
1,10,12,0.70,245,511076.77
1,10,12,0.70,260,518562.08
1,10,12,0.70,275,587903.38
1,10,12,0.70,290,602525.77
1,10,13,0.70,5,60922.88
1,10,13,0.70,20,61538.91
1,10,13,0.70,35,69889.52
1,10,13,0.70,50,106492.46
1,10,13,0.70,65,142643.42
1,10,13,0.70,80,156461.92
1,10,13,0.70,95,166018.55
1,10,13,0.70,110,172236.98
1,10,13,0.70,125,176872.04
1,10,13,0.70,140,238863.19
1,10,13,0.70,155,240492.14
1,10,13,0.70,170,241810.36
1,10,13,0.70,185,249466.30
1,10,13,0.70,200,261424.85
1,10,13,0.70,215,305050.52
1,10,13,0.70,230,506249.08
1,10,13,0.70,245,511502.92
1,10,13,0.70,260,519029.55
1,10,13,0.70,275,599890.26
1,10,13,0.70,290,611529.22
1,10,14,0.70,5,60922.88
1,10,14,0.70,20,61538.91
1,10,14,0.70,35,69889.52
1,10,14,0.70,50,106492.46
1,10,14,0.70,65,142643.42
1,10,14,0.70,80,156461.92
1,10,14,0.70,95,166018.55
1,10,14,0.70,110,172236.98
1,10,14,0.70,125,176863.36
1,10,14,0.70,140,238863.19
1,10,14,0.70,155,240492.14
1,10,14,0.70,170,241810.36
1,10,14,0.70,185,249466.30
1,10,14,0.70,200,261373.27
1,10,14,0.70,215,305102.12
1,10,14,0.70,230,507231.26
1,10,14,0.70,245,512415.50
1,10,14,0.70,260,519673.36
1,10,14,0.70,275,601698.81
1,10,14,0.70,290,612015.77
1,10,15,0.70,5,60922.88
1,10,15,0.70,20,61538.91
1,10,15,0.70,35,69889.52
